How many episodes are in the Bleach anime?,366
How many seasons in One Piece as of September 2023?,20
In what year did the first episode of Gunbuster release?,1988
How many characters make up the hosts of the Ouran High School Host Club?,7
How many people attended Tekko 2019? (Animecons.com),"11,385"
How many views does the original Bad Apple have on Youtube (in millions) as of Sept. 2023?,77 million
"In The Melancholy of Haruhi Suzumiya, how many times did Endless Eight loop? (Hint, it's more than 8.)","15,532"
How much money (USD) did the Little Witch Academia 2 (OVA) raise on Kickstarter?,"625,518"
How many people backed the Little Witch Academia 2 (OVA) on Kickstarter?,7938
How many different Hatsune Miku figures are sold on the Crunchyroll store? (Sept. 2023),98
How many Dragonball Z movies?,15
How many Monogatari Light Novels?,29
"How many numbered Comikets have been held? (Wikipeida, excluding special events.)",102
"What was the box office gross of Evangelion: 3.0+1.0 Thrice Upon a Time, in millions USD? (Wikipedia)",93
How many feature films has Hayao Miyazaki directed as of Sept. 2023? (Wikipedia),12
What year did Kill la Kill begin airing?,2013
How many episodes (including OVAs) have there been in all of the Hetalia series as of 2023?,151
"How many countries (modern, ancient, and micronations) are represented in the Hetalia series? (HetaliaArchives)",70
What is the starting salary of a Mappa employee in yen per month?,230543
How long is the longest anime film in minutes?,168
How many Pokemon are there?,1015
In what year was the first ScottyCon?,2019
"In Ranma 1/2, how many people live in the Tendo house?",7
How many prefectures are in Japan?,47
What was the box office gross of Spirited Away,$395.8m
What is the highest score for Top Anime on MAL (out of 100)?,91
How many videos do Gigguk have?,264
"As of September 2023, how many series are serialized in Weekly Shounen Jump?",22
How many mainline Touhou games are there?,19
How many anime and manga are banned in China?,38
How many openings are there in Naruto and Naruto Shippuden?,29
How many people are currently in the main Straw Hat Pirate crew in One Piece?,10
How many Yu-Gi-Oh spin-off series are there?,7
How many episodes are there in the modern Jojo's Bizarre Adventure franchise (excluding spin-offs)?,190
How many full anime series (not movies) have been animated by Trigger?,13
How many seasons of Natsume's Book of Friends have aired?,6
How many movies have been directed by Mamoru Hosoda (as of Sept. 2023)?,9
How many years did it take for the original Legend of the Galactic Heroes to be fully released (from start to finish)?,9
How many Precure series are there?,20
"How many years separated the end of Devil is a Part-Timer season one, and the release of Devil is a Part-Timer season two?",9
What age is Light Yagami at the end of Death Note?,23
How many anime have been nominated for Best Animated Feature Film at the Oscars?,7
In what year did the Dragonball anime begin airing?,1986
In what year did Revolutionary Girl Utena begin airing?,1997
How many episodes are in the original Cardcaptor Sakura anime?,70
In what year did Cartoon Network's Toonami block begin airing?,1997
In what year did the Toonami revival begin airing?,2012
How many different versions of T.O.M. have been used in Toonami?,6
In what year did the original Fullmetal Alchemist anime beging airing?,2001
In what year did the His and Her Circumstances manga begin serialization?,1995
How many Gundam universes (timelines) are there?,11
How many volumes are in the original Fruits Basket manga?,23
How many volumes in are the Berserk manga?,42
How many feature films has Madkoto Shinkai written (as of Sept. 2023)?,7
What was the gross revenue of Your Name worldwide (in millions of USD)?,382
In what year did the Akira film release?,1988
In what historical year does Vinland Saga begin?,1013
In what future year does the Legend of the Galactic Heroes anime begin (AD calendar)?,3596
"How tall is Eren Yaeger's Attack Titan form, in meters?",15
