Which year did the first episode of Pokemon air in Japan?,1997,https://en.wikipedia.org/wiki/Pok%C3%A9mon:_Indigo_League
How many Clow Cards appear in the Cardcaptor Sakura anime?,51,https://ccsakura.fandom.com/wiki/Clow_Cards,
How many episodes (including OVAs) have there been in all of the Hetalia series?,151,https://en.wikipedia.org/wiki/Hetalia:_Axis_Powers,February 2026
How many episodes are in the original Bleach anime?,366,https://en.wikipedia.org/wiki/Bleach_(TV_series),
How many Yu-Gi-Oh TV series have aired?,10,https://en.wikipedia.org/wiki/Yu-Gi-Oh!#Anime,February 2026
How tall (in cm) is Kuroko from Kuroko's Basketball?,168,https://kurokonobasuke.fandom.com/wiki/Tetsuya_Kuroko,
How tall is Thorkell in Vinland Saga (in cm)?,230,https://vinlandsaga.fandom.com/wiki/Thorkell,
What age is Light Yagami at the end of Death Note?,23,https://deathnote.fandom.com/wiki/Light_Yagami,
How old is Faye Valentine from Cowboy Bebop?,77,https://en.wikipedia.org/wiki/List_of_Cowboy_Bebop_characters#Faye_Valentine,
How many people backed the Little Witch Academia 2 (OVA) on Kickstarter?,7938,https://www.kickstarter.com/projects/1311401276/little-witch-academia-2,
In what year did the Clannad Visual Novel release?,2004,https://en.wikipedia.org/wiki/Clannad_(video_game),
How much does the Pokémon Wailord weigh (in pounds)?,877,https://www.pokemon.com/us/pokedex/wailord,
In what year did Cartoon Network's Toonami block begin airing?,1997,https://en.wikipedia.org/wiki/Toonami,
In what year did the Akira film release?,1988,https://en.wikipedia.org/wiki/Akira_(1988_film),
How many seasons in the One Piece anime?,21,https://en.wikipedia.org/wiki/One_Piece_(1999_TV_series),February 2026
How many numbered Comikets have been held?,107,https://en.wikipedia.org/wiki/Comiket#Event_history,February 2026
"In Bakemonogatari, how much did Senjougahara weigh (in kg) after meeting the heavy stone crab?",5,https://bakemonogatari.fandom.com/wiki/Heavy_Stone_Crab,
"In Frieren, how many mages does Flamme pass in the First Class mage exam?",6,,
"How many countries (modern, ancient, and micronations) are represented in the Hetalia series?",73,https://en.wikipedia.org/wiki/List_of_Hetalia:_Axis_Powers_characters,
"Including ""God"", how many members of the Zodiac in Fruits Basket start the series as adults?",6,https://fruitsbasket.fandom.com/wiki/The_Chinese_Zodiac,
"How many days were there in the Chainsaw Man hiatus, between the ending of Part 1 and the debut of Part 2?",576,Mangaplus App,
How many Apothecary Diaries Light Novels have been published?,16,https://en.wikipedia.org/wiki/The_Apothecary_Diaries,February 2026
How old is the protagonist Phosphophyllite at the beginning of the anime Land of the Lustrous?,300,https://houseki-no-kuni.fandom.com/wiki/Phosphophyllite,
"In Takopi's Original Sin, how many times does Takopi try to save Chappy, before breaking his Happy Camera?",101,https://en.wikipedia.org/wiki/Takopi%27s_Original_Sin,
How many active members are there in the Fairy Tail Guild?,36,https://fairytail.fandom.com/wiki/Fairy_Tail_(Guild)#Members,2026-02-01
How many Pokemon are there?,1025,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_National_Pok%C3%A9dex_number#Generation_IX,February 2026
How many Japanese anime have been nominated for Best Animated Feature Film at the Oscars?,7,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Animated_Feature,March 2026
How many volumes are in the original Fruits Basket manga?,23,https://en.wikipedia.org/wiki/List_of_Fruits_Basket_chapters,
In what year did the His and Her Circumstances manga begin serialization?,1995,https://en.wikipedia.org/wiki/Kare_Kano,
How many Pretty Cure series have aired?,22,https://en.wikipedia.org/wiki/Pretty_Cure#Main_series,February 2026
How many anime and manga are banned in China?,38,https://www.facebook.com/nathanistic/posts/china-has-banned-a-total-of-38-anime-titleschina-is-pretty-strict-when-it-comes-/844139281330176/,November 2025
What is the highest score for Top Anime on MAL (out of 100)?,92,https://myanimelist.net/topanime.php,February 2026
How many different versions of T.O.M. have been used in Toonami?,7,https://toonami.fandom.com/wiki/TOM,
How many movies have been directed by Mamoru Hosoda?,8,https://en.wikipedia.org/wiki/Mamoru_Hosoda#Film,February 2026
