"In Mob Psycho, what is Mob's hourly wage (in Yen) working for Reigen?",300,https://en.wikipedia.org/wiki/List_of_Mob_Psycho_100_characters#Main_characters,
"How many years after the disaster is the present time in ""Heavenly Delusion""?",15,,
How long is the longest anime film in minutes?,168,https://en.wikipedia.org/wiki/List_of_longest_animated_films,February 2026
"In Steins;Gate, John Titor is a time traveler from what future year?",2036,https://steins-gate.fandom.com/wiki/John_Titor,
How many views does the original Bad Apple have on Youtube (in millions)?,122,https://www.youtube.com/watch?v=FtutLA63Cp8,"February 22, 2026"
In what year did the first episode of Gunbuster release?,1988,https://en.wikipedia.org/wiki/Gunbuster,
How many volumes in are the Berserk manga?,43,https://en.wikipedia.org/wiki/List_of_Berserk_chapters,February 2026
How many seasons of Natsume's Book of Friends have aired?,7,https://en.wikipedia.org/wiki/List_of_Natsume%27s_Book_of_Friends_episodes,February 2026
How many mainline Touhou games are there?,20,https://en.wikipedia.org/wiki/Touhou_Project,February 2026
"How many released Fate projects are there? (VNs, LNs, Anime, Videogames, Stage Plays, ETS)",102,https://typemoon.fandom.com/wiki/Fate_series,2026-02-01
How many episodes are in the original Cardcaptor Sakura anime?,70,https://en.wikipedia.org/wiki/List_of_Cardcaptor_Sakura_episodes,
"In the Attack on Titan timeline, the Battle of Trost occurs in what year?",850,https://attackontitan.fandom.com/wiki/Battle_of_Trost_District,
What year did the Kingdom manga debut?,2006,https://en.wikipedia.org/wiki/Kingdom_(manga),
What is the metascore for A Silent Voice on Metacritic?,78,https://www.metacritic.com/movie/a-silent-voice/,February 2026
How many times does Subaru die in Re:Zero Season 1?,11,www.crunchyroll.com/news/features/2025/3/25/every-time-subaru-dies-rezero#season1,
In what future year does the Legend of the Galactic Heroes anime begin (AD calendar)?,3596,https://en.wikipedia.org/wiki/Legend_of_the_Galactic_Heroes#Plot,
How many feature films has Makoto Shinkai written?,7,https://en.wikipedia.org/wiki/Makoto_Shinkai#Films,February 2026
What rank is Haikyuu on MyAnimeLists's top anime?,43,https://myanimelist.net/topanime.php,2026-01-01
In what historical year does Vinland Saga begin?,1013,https://en.wikipedia.org/wiki/Vinland_Saga_(manga)#Setting,
What is the starting salary of a Mappa employee in yen per month?,240000,https://x.com/HexagonHill/status/1691133101194334214,April 2023
How many chapters are there in the Oshi no Ko manga?,166,https://mangaplus.shueisha.co.jp/titles/100191,
How old is Edward Elric in the epilogue of Full Metal Alchemist: Brotherhood?,18,,
"In My Hero Academia, how many hands does Shigaraki wear?",14,,
"In Bocchi the Rock, how many subscribers did Guitar Hero (Bocchi) have at the beginning of the series?",30000,First episode 14:04,
How much money (USD) did the Little Witch Academia 2 (OVA) raise on Kickstarter?,625518,https://www.kickstarter.com/projects/1311401276/little-witch-academia-2,
"In what year was the protagonist of Monster, Kenzo Tenma, born?",1958,https://obluda.fandom.com/wiki/Kenz%C5%8D_Tenma,
How many years did it take for the original Legend of the Galactic Heroes to be fully released (from start to finish)?,9,https://en.wikipedia.org/wiki/List_of_Legend_of_the_Galactic_Heroes_episodes,
How many Dragonball Z movies have been released?,15,https://en.wikipedia.org/wiki/List_of_Dragon_Ball_films,
How many series are serialized in Weekly Shounen Jump?,19,https://x.com/WSJ_manga/status/2034502181915627937,"March 22, 2026"
"In The Melancholy of Haruhi Suzumiya, how many times did Endless Eight loop? (Hint, it's more than 8.)",15532,https://en.wikipedia.org/wiki/List_of_The_Melancholy_of_Haruhi_Suzumiya_episodes#Season_2,
How many animators are credited in Howl's Moving Castle?,169,https://m.imdb.com/title/tt0347149/fullcredits/,
"What was the box office gross of Evangelion: 3.0+1.0 Thrice Upon a Time, in millions USD?",93,https://en.wikipedia.org/wiki/Evangelion:_3.0%2B1.0_Thrice_Upon_a_Time,
How many episodes of Naruto are filler? (Including shippuden),296,,
"In Code Geass, how many children does Emperor Charles vi Brittania have?",18,https://codegeass.fandom.com/wiki/Charles_zi_Britannia#Known_Relatives,
